Region,Proxy or Full MSA,Year,hpi,hpi_growth,hpi_growth_pct
"Denver-Aurora-Centennial, CO Metro Area",Full,2009,189.115,-0.005926646,-0.592664625
"Denver-Aurora-Centennial, CO Metro Area",Full,2010,185.825,-0.017396822,-1.739682204
"Denver-Aurora-Centennial, CO Metro Area",Full,2011,181.4775,-0.023395668,-2.339566797
"Denver-Aurora-Centennial, CO Metro Area",Full,2012,186.15,0.025746993,2.574699343
"Denver-Aurora-Centennial, CO Metro Area",Full,2013,201.35,0.08165458,8.165457964
"Denver-Aurora-Centennial, CO Metro Area",Full,2014,221.5025,0.100086913,10.00869133
"Houston-Pasadena-The Woodlands, TX Metro Area",Full,2005,161.765,NA,NA
"Houston-Pasadena-The Woodlands, TX Metro Area",Full,2006,171.1375,0.057938986,5.793898557
"Houston-Pasadena-The Woodlands, TX Metro Area",Full,2007,179.29,0.047637134,4.763713388
"Houston-Pasadena-The Woodlands, TX Metro Area",Full,2008,184.165,0.027190585,2.719058509
"Houston-Pasadena-The Woodlands, TX Metro Area",Full,2009,185.4775,0.007126761,0.712676133
"Houston-Pasadena-The Woodlands, TX Metro Area",Full,2010,183.6525,-0.009839468,-0.98394684
"Houston-Pasadena-The Woodlands, TX Metro Area",Full,2011,181.0925,-0.013939369,-1.393936919
"Houston-Pasadena-The Woodlands, TX Metro Area",Full,2012,186.535,0.030053702,3.005370184
"Houston-Pasadena-The Woodlands, TX Metro Area",Full,2013,197.75,0.060122765,6.012276516
"Houston-Pasadena-The Woodlands, TX Metro Area",Full,2014,218.665,0.105764855,10.57648546
"Los Angeles-Long Beach-Anaheim, CA Metro Area",Proxy,2005,289.0125,NA,NA
"Los Angeles-Long Beach-Anaheim, CA Metro Area",Proxy,2006,335.17,0.159707625,15.97076251
"Los Angeles-Long Beach-Anaheim, CA Metro Area",Proxy,2007,330.24,-0.014708954,-1.470895367
"Los Angeles-Long Beach-Anaheim, CA Metro Area",Proxy,2008,269.1225,-0.185069949,-18.50699491
"Los Angeles-Long Beach-Anaheim, CA Metro Area",Proxy,2009,234.005,-0.130488904,-13.04889038
"Los Angeles-Long Beach-Anaheim, CA Metro Area",Proxy,2010,230.9075,-0.013236897,-1.323689665
"Los Angeles-Long Beach-Anaheim, CA Metro Area",Proxy,2011,221.5125,-0.040687288,-4.06872882
"Los Angeles-Long Beach-Anaheim, CA Metro Area",Proxy,2012,221.1025,-0.001850911,-0.185091135
"Los Angeles-Long Beach-Anaheim, CA Metro Area",Proxy,2013,244.945,0.107834602,10.78346016
"Los Angeles-Long Beach-Anaheim, CA Metro Area",Proxy,2014,272.7825,0.113647962,11.36479618
"New York-Newark-Jersey City, NY-NJ Metro Area",Proxy,2005,245.3125,NA,NA
"New York-Newark-Jersey City, NY-NJ Metro Area",Proxy,2006,266.895,0.087979618,8.797961783
"New York-Newark-Jersey City, NY-NJ Metro Area",Proxy,2007,268.7775,0.007053336,0.705333558
"New York-Newark-Jersey City, NY-NJ Metro Area",Proxy,2008,256.2075,-0.046767308,-4.676730753
"New York-Newark-Jersey City, NY-NJ Metro Area",Proxy,2009,240.0925,-0.062898237,-6.289823678
"New York-Newark-Jersey City, NY-NJ Metro Area",Proxy,2010,231.8925,-0.034153503,-3.415350334
"New York-Newark-Jersey City, NY-NJ Metro Area",Proxy,2011,226.335,-0.023965846,-2.396584624
"New York-Newark-Jersey City, NY-NJ Metro Area",Proxy,2012,222.965,-0.014889434,-1.48894338
"New York-Newark-Jersey City, NY-NJ Metro Area",Proxy,2013,224.96,0.008947593,0.894759267
"New York-Newark-Jersey City, NY-NJ Metro Area",Proxy,2014,231.62,0.029605263,2.960526316
"Orlando-Kissimmee-Sanford, FL Metro Area",Full,2005,226.0225,NA,NA
"Orlando-Kissimmee-Sanford, FL Metro Area",Full,2006,272.855,0.207202823,20.72028227
"Orlando-Kissimmee-Sanford, FL Metro Area",Full,2007,273.235,0.001392681,0.139268109
"Orlando-Kissimmee-Sanford, FL Metro Area",Full,2008,230.0325,-0.15811481,-15.81148096
"Orlando-Kissimmee-Sanford, FL Metro Area",Full,2009,190.8225,-0.170454175,-17.0454175
"Orlando-Kissimmee-Sanford, FL Metro Area",Full,2010,164.395,-0.138492578,-13.84925782
"Orlando-Kissimmee-Sanford, FL Metro Area",Full,2011,149.4175,-0.091106785,-9.110678549
"Orlando-Kissimmee-Sanford, FL Metro Area",Full,2012,146.64,-0.018588853,-1.858885338
"Orlando-Kissimmee-Sanford, FL Metro Area",Full,2013,161.205,0.099324877,9.932487725
"Orlando-Kissimmee-Sanford, FL Metro Area",Full,2014,178.28,0.105921032,10.59210322
"Phoenix-Mesa-Chandler, AZ Metro Area",Full,2005,239.7575,NA,NA
"Phoenix-Mesa-Chandler, AZ Metro Area",Full,2006,288.4125,0.202934215,20.29342148
"Phoenix-Mesa-Chandler, AZ Metro Area",Full,2007,283.5125,-0.016989555,-1.698955489
"Phoenix-Mesa-Chandler, AZ Metro Area",Full,2008,234.8325,-0.171703188,-17.17031877
"Phoenix-Mesa-Chandler, AZ Metro Area",Full,2009,188.765,-0.196171739,-19.61717394
"Phoenix-Mesa-Chandler, AZ Metro Area",Full,2010,164.8525,-0.126678675,-12.66786745
"Phoenix-Mesa-Chandler, AZ Metro Area",Full,2011,146.8925,-0.108945876,-10.89458759
"Phoenix-Mesa-Chandler, AZ Metro Area",Full,2012,158.4875,0.078935276,7.89352758
"Phoenix-Mesa-Chandler, AZ Metro Area",Full,2013,186.8225,0.178783816,17.87838158
"Phoenix-Mesa-Chandler, AZ Metro Area",Full,2014,206.975,0.107869769,10.78697694
"Riverside-San Bernardino-Ontario, CA Metro Area",Full,2005,287.47,NA,NA
"Riverside-San Bernardino-Ontario, CA Metro Area",Full,2006,328.0225,0.141066894,14.10668939
"Riverside-San Bernardino-Ontario, CA Metro Area",Full,2007,315.64,-0.037748935,-3.774893491
"Riverside-San Bernardino-Ontario, CA Metro Area",Full,2008,226.7725,-0.281547016,-28.15470156
"Riverside-San Bernardino-Ontario, CA Metro Area",Full,2009,181.2175,-0.200884146,-20.0884146
"Riverside-San Bernardino-Ontario, CA Metro Area",Full,2010,175.915,-0.029260419,-2.926041911
"Riverside-San Bernardino-Ontario, CA Metro Area",Full,2011,167.4275,-0.048247733,-4.824773328
"Riverside-San Bernardino-Ontario, CA Metro Area",Full,2012,166.985,-0.002642935,-0.2642935
"Riverside-San Bernardino-Ontario, CA Metro Area",Full,2013,193.6725,0.159819744,15.98197443
"Riverside-San Bernardino-Ontario, CA Metro Area",Full,2014,225.565,0.164672321,16.46723205
"San Diego-Chula Vista-Carlsbad, CA Metro Area",Full,2005,287.47,NA,NA
"San Diego-Chula Vista-Carlsbad, CA Metro Area",Full,2006,328.0225,0.141066894,14.10668939
"San Diego-Chula Vista-Carlsbad, CA Metro Area",Full,2007,315.64,-0.037748935,-3.774893491
